epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,128.36,0.56924,0.91837,1,0.23504,0.000472003,0.000472003,0.000472003
2,158.677,0.24155,0.93878,1,0.21328,0.000932689,0.000932689,0.000932689
3,189.08,0.22374,0.93197,1,0.21424,0.00137766,0.00137766,0.00137766
4,219.814,0.28318,0.9093,1,0.28638,0.00135826,0.00135826,0.00135826
5,250.066,0.2244,0.92063,1,0.28395,0.00133469,0.00133469,0.00133469
6,280.839,0.19211,0.9229,1,0.23043,0.00131111,0.00131111,0.00131111
7,311.632,0.18923,0.94785,1,0.17545,0.00128753,0.00128753,0.00128753
8,342.647,0.14878,0.93197,1,0.28162,0.00126395,0.00126395,0.00126395
9,373.25,0.14138,0.95465,1,0.1854,0.00124037,0.00124037,0.00124037
10,404.432,0.13806,0.95011,1,0.17146,0.00121679,0.00121679,0.00121679
11,435.736,0.13125,0.95238,1,0.16161,0.00119322,0.00119322,0.00119322
12,466.888,0.11133,0.94785,1,0.15557,0.00116964,0.00116964,0.00116964
13,496.184,0.09866,0.95465,1,0.14527,0.00114606,0.00114606,0.00114606
14,525.641,0.12688,0.92517,1,0.22372,0.00112248,0.00112248,0.00112248
15,557.904,0.10651,0.95011,1,0.19105,0.0010989,0.0010989,0.0010989
16,587.972,0.09545,0.94785,1,0.1634,0.00107532,0.00107532,0.00107532
17,618.727,0.09116,0.95465,1,0.22947,0.00105174,0.00105174,0.00105174
18,649.174,0.07657,0.93878,1,0.21077,0.00102817,0.00102817,0.00102817
19,678.394,0.08758,0.91156,1,0.2582,0.00100459,0.00100459,0.00100459
